{'id': '0'}	{'y': '77', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '152'}
{'y': '74', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '180'}
{'y': '155', 'h': '29', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '50', 'x': '269'}
{'id': '15'}	{'y': '80', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '151'}
{'y': '89', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '133'}
{'y': '133', 'h': '103', 'fish_species': 'Dascyllus Reticulatus', 'w': '77', 'x': '0'}
{'id': '16'}	{'y': '85', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '156'}
{'y': '87', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '18', 'x': '133'}
{'y': '133', 'h': '105', 'fish_species': 'Dascyllus Reticulatus', 'w': '77', 'x': '-1'}
{'id': '17'}	{'y': '93', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '156'}
{'y': '91', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '18', 'x': '135'}
{'y': '123', 'h': '111', 'fish_species': 'Dascyllus Reticulatus', 'w': '89', 'x': '-1'}
{'id': '18'}	{'y': '93', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '156'}
{'y': '91', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '18', 'x': '135'}
{'y': '60', 'h': '17', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '201'}
{'y': '101', 'h': '111', 'fish_species': 'Dascyllus Reticulatus', 'w': '97', 'x': '1'}
{'id': '19'}	{'y': '59', 'h': '17', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '204'}
{'y': '92', 'h': '116', 'fish_species': 'Dascyllus Reticulatus', 'w': '113', 'x': '1'}
{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '158'}
{'id': '20'}	{'y': '56', 'h': '17', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '209'}
{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '159'}
{'y': '53', 'h': '128', 'fish_species': 'Dascyllus Reticulatus', 'w': '117', 'x': '28'}
{'id': '21'}	{'y': '53', 'h': '17', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '24', 'x': '218'}
{'y': '84', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '159'}
{'y': '5', 'h': '109', 'fish_species': 'Dascyllus Reticulatus', 'w': '125', 'x': '49'}
{'id': '22'}	{'y': '-24', 'h': '109', 'fish_species': 'Dascyllus Reticulatus', 'w': '117', 'x': '70'}
{'y': '85', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '159'}
{'y': '52', 'h': '17', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '22', 'x': '221'}
{'id': '23'}	{'y': '61', 'h': '30', 'fish_species': 'Chaetodon Trifascialis', 'w': '36', 'x': '75'}
{'y': '86', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '159'}
{'y': '91', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '139'}
{'y': '-24', 'h': '62', 'fish_species': 'Dascyllus Reticulatus', 'w': '92', 'x': '104'}
{'id': '24'}	{'y': '86', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '159'}
{'y': '91', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '139'}
{'y': '63', 'h': '28', 'fish_species': 'Chaetodon Trifascialis', 'w': '32', 'x': '79'}
{'y': '48', 'h': '18', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '215'}
{'id': '25'}	{'y': '64', 'h': '28', 'fish_species': 'Chaetodon Trifascialis', 'w': '32', 'x': '79'}
{'y': '86', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '163'}
{'y': '91', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '139'}
{'y': '48', 'h': '18', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '214'}
{'id': '26'}	{'y': '65', 'h': '27', 'fish_species': 'Chaetodon Trifascialis', 'w': '32', 'x': '82'}
{'y': '81', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '161'}
{'y': '45', 'h': '20', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '34', 'x': '214'}
{'id': '27'}	{'y': '45', 'h': '19', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '215'}
{'y': '81', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '161'}
{'y': '69', 'h': '27', 'fish_species': 'Chaetodon Trifascialis', 'w': '32', 'x': '84'}
{'id': '28'}	{'y': '45', 'h': '19', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '31', 'x': '215'}
{'y': '83', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '160'}
{'y': '70', 'h': '27', 'fish_species': 'Chaetodon Trifascialis', 'w': '38', 'x': '84'}
{'id': '29'}	{'y': '45', 'h': '19', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '26', 'x': '219'}
{'y': '83', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '161'}
{'y': '89', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '135'}
{'id': '30'}	{'y': '46', 'h': '20', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '23', 'x': '223'}
{'y': '85', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '156'}
{'y': '77', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '172'}
{'id': '31'}	{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '155'}
{'y': '77', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '173'}
{'y': '44', 'h': '22', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '24', 'x': '221'}
{'id': '32'}	{'y': '45', 'h': '21', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '23', 'x': '219'}
{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '154'}
{'y': '75', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '177'}
{'y': '92', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '133'}
{'id': '33'}	{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '154'}
{'y': '72', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '177'}
{'y': '92', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '133'}
{'y': '47', 'h': '21', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '21', 'x': '217'}
{'id': '34'}	{'y': '49', 'h': '19', 'fish_species': 'Neoglyphidodon Nigroris', 'w': '15', 'x': '217'}
{'y': '70', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '177'}
{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '154'}
{'y': '89', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '130'}
{'y': '68', 'h': '31', 'fish_species': 'Chaetodon Trifascialis', 'w': '42', 'x': '86'}
{'id': '35'}	{'y': '66', 'h': '31', 'fish_species': 'Chaetodon Trifascialis', 'w': '42', 'x': '88'}
{'y': '89', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '130'}
{'y': '70', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '177'}
{'y': '89', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '154'}
{'y': '14', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '18', 'x': '78'}
{'id': '36'}	{'y': '14', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '72'}
{'y': '66', 'h': '30', 'fish_species': 'Chaetodon Trifascialis', 'w': '35', 'x': '93'}
{'y': '89', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '130'}
{'y': '86', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '155'}
{'y': '65', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '177'}
{'id': '37'}	{'y': '14', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '72'}
{'y': '64', 'h': '30', 'fish_species': 'Chaetodon Trifascialis', 'w': '35', 'x': '93'}
{'y': '90', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '130'}
{'y': '86', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '155'}
{'y': '66', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '177'}
{'id': '38'}	{'y': '84', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '155'}
{'y': '64', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '174'}
{'y': '91', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '132'}
{'y': '60', 'h': '30', 'fish_species': 'Chaetodon Trifascialis', 'w': '30', 'x': '90'}
{'y': '15', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '74'}
{'id': '39'}	{'y': '58', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '175'}
{'y': '82', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '156'}
{'y': '91', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '134'}
{'y': '58', 'h': '32', 'fish_species': 'Chaetodon Trifascialis', 'w': '30', 'x': '86'}
{'y': '18', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '21', 'x': '76'}
{'id': '40'}	{'y': '56', 'h': '34', 'fish_species': 'Chaetodon Trifascialis', 'w': '26', 'x': '85'}
{'y': '82', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '156'}
{'y': '18', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '21', 'x': '77'}
{'id': '41'}	{'y': '54', 'h': '34', 'fish_species': 'Chaetodon Trifascialis', 'w': '26', 'x': '78'}
{'y': '81', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '158'}
{'y': '18', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '76'}
{'id': '42'}	{'y': '79', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '157'}
{'y': '53', 'h': '34', 'fish_species': 'Chaetodon Trifascialis', 'w': '25', 'x': '71'}
{'y': '17', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '18', 'x': '86'}
{'id': '43'}	{'y': '79', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '157'}
{'y': '53', 'h': '32', 'fish_species': 'Chaetodon Trifascialis', 'w': '18', 'x': '69'}
{'y': '48', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '156'}
{'y': '17', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '18', 'x': '89'}
{'id': '44'}	{'y': '70', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '158'}
{'y': '46', 'h': '37', 'fish_species': 'Chaetodon Trifascialis', 'w': '27', 'x': '53'}
{'y': '15', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '18', 'x': '94'}
{'id': '45'}	{'y': '70', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '154'}
{'y': '46', 'h': '38', 'fish_species': 'Chaetodon Trifascialis', 'w': '42', 'x': '27'}
{'y': '15', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '18', 'x': '94'}
{'id': '46'}	{'y': '71', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '151'}
{'y': '46', 'h': '39', 'fish_species': 'Chaetodon Trifascialis', 'w': '49', 'x': '17'}
{'y': '14', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '22', 'x': '102'}
{'id': '47'}	{'y': '45', 'h': '37', 'fish_species': 'Chaetodon Trifascialis', 'w': '61', 'x': '3'}
{'y': '71', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '144'}
{'y': '12', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '24', 'x': '109'}
{'id': '48'}	{'y': '68', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '142'}
{'y': '44', 'h': '37', 'fish_species': 'Chaetodon Trifascialis', 'w': '56', 'x': '1'}
{'y': '6', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '24', 'x': '116'}
{'id': '49'}	{'y': '68', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '29', 'x': '142'}
{'y': '44', 'h': '35', 'fish_species': 'Chaetodon Trifascialis', 'w': '48', 'x': '1'}
{'y': '6', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '24', 'x': '118'}
{'id': '50'}	{'y': '8', 'h': '17', 'fish_species': 'Amphiprion Clarkii', 'w': '24', 'x': '124'}
{'id': '51'}	{'y': '11', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '130'}
{'id': '52'}	{'y': '15', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '23', 'x': '132'}
{'id': '53'}	{'y': '15', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '135'}
{'y': '63', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '142'}
{'id': '54'}	{'y': '13', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '25', 'x': '135'}
{'y': '24', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '101'}
{'y': '61', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '141'}
{'id': '55'}	{'y': '13', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '136'}
{'y': '24', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '101'}
{'y': '63', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '143'}
{'y': '14', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '194'}
{'id': '56'}	{'y': '9', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '139'}
{'y': '61', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '142'}
{'y': '26', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '103'}
{'y': '14', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '194'}
{'id': '57'}	{'y': '2', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '141'}
{'y': '61', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '147'}
{'y': '31', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '106'}
{'y': '11', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '194'}
{'id': '58'}	{'y': '61', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '147'}
{'y': '36', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '111'}
{'y': '0', 'h': '19', 'fish_species': 'Amphiprion Clarkii', 'w': '28', 'x': '143'}
{'y': '81', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '129'}
{'y': '9', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '194'}
{'id': '59'}	{'y': '81', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '129'}
{'y': '0', 'h': '15', 'fish_species': 'Amphiprion Clarkii', 'w': '30', 'x': '144'}
{'y': '5', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '194'}
{'y': '67', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '157'}
{'id': '60'}	{'y': '6', 'h': '15', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '198'}
{'y': '0', 'h': '13', 'fish_species': 'Amphiprion Clarkii', 'w': '37', 'x': '145'}
{'y': '81', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '129'}
{'y': '36', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '6'}
{'id': '61'}	{'y': '9', 'h': '15', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '203'}
{'y': '0', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '32', 'x': '150'}
{'y': '80', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '128'}
{'y': '34', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '7'}
{'id': '62'}	{'y': '3', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '32', 'x': '160'}
{'y': '80', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '128'}
{'y': '31', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '14'}
{'id': '63'}	{'y': '3', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '22', 'x': '170'}
{'id': '64'}	{'y': '4', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '22', 'x': '171'}
{'id': '66'}	{'y': '37', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '94'}
{'y': '81', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '127'}
{'id': '67'}	{'y': '79', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '139'}
{'y': '42', 'h': '36', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '97'}
{'id': '68'}	{'y': '0', 'h': '18', 'fish_species': 'Amphiprion Clarkii', 'w': '33', 'x': '156'}
{'y': '80', 'h': '22', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '147'}
{'id': '69'}	{'y': '53', 'h': '35', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '82'}
{'y': '90', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '156'}
{'y': '19', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '233'}
{'id': '70'}	{'y': '89', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '158'}
{'y': '17', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '233'}
{'id': '71'}	{'y': '82', 'h': '25', 'fish_species': 'Dascyllus Reticulatus', 'w': '24', 'x': '158'}
{'id': '74'}	{'y': '71', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '157'}
{'y': '88', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '130'}
{'y': '7', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '225'}
{'id': '75'}	{'y': '71', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '15', 'x': '157'}
{'y': '88', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '130'}
{'y': '2', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '227'}
{'id': '76'}	{'y': '68', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '154'}
{'y': '88', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '130'}
{'y': '0', 'h': '16', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '228'}
{'id': '77'}	{'y': '63', 'h': '30', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '153'}
{'y': '88', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '130'}
{'id': '78'}	{'y': '57', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '151'}
{'y': '86', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '129'}
{'id': '79'}	{'y': '57', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '151'}
{'y': '83', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '128'}
{'id': '80'}	{'y': '57', 'h': '28', 'fish_species': 'Dascyllus Reticulatus', 'w': '25', 'x': '151'}
{'y': '82', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '128'}
{'id': '81'}	{'y': '59', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '152'}
{'y': '81', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '128'}
{'id': '82'}	{'y': '81', 'h': '21', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '128'}
{'y': '65', 'h': '30', 'fish_species': 'Dascyllus Reticulatus', 'w': '17', 'x': '157'}
{'id': '83'}	{'y': '72', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '154'}
{'y': '81', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '128'}
{'id': '84'}	{'y': '83', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '154'}
{'y': '81', 'h': '23', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '133'}
{'id': '85'}	{'y': '84', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '16', 'x': '133'}
{'y': '85', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '19', 'x': '153'}
{'id': '86'}	{'y': '79', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '146'}
{'id': '87'}	{'y': '74', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '138'}
{'id': '88'}	{'y': '43', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '201'}
{'id': '89'}	{'y': '45', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '206'}
{'id': '90'}	{'y': '41', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '209'}
{'y': '70', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '31', 'x': '110'}
{'id': '91'}	{'y': '68', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '114'}
{'y': '38', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '27', 'x': '211'}
{'id': '92'}	{'y': '63', 'h': '31', 'fish_species': 'Dascyllus Reticulatus', 'w': '30', 'x': '119'}
{'id': '93'}	{'y': '66', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '127'}
{'id': '94'}	{'y': '62', 'h': '29', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '130'}
{'y': '14', 'h': '19', 'fish_species': 'Dascyllus Reticulatus', 'w': '26', 'x': '204'}
{'id': '95'}	{'y': '55', 'h': '24', 'fish_species': 'Dascyllus Reticulatus', 'w': '21', 'x': '135'}
{'y': '6', 'h': '20', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '202'}
{'id': '96'}	{'y': '154', 'h': '26', 'fish_species': 'Chaetodon Trifascialis', 'w': '55', 'x': '229'}
{'y': '52', 'h': '27', 'fish_species': 'Dascyllus Reticulatus', 'w': '22', 'x': '133'}
{'y': '1', 'h': '18', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '201'}
{'y': '49', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '31'}
{'id': '97'}	{'y': '153', 'h': '29', 'fish_species': 'Chaetodon Trifascialis', 'w': '55', 'x': '222'}
{'y': '57', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '135'}
{'y': '49', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '23', 'x': '36'}
{'y': '0', 'h': '17', 'fish_species': 'Dascyllus Reticulatus', 'w': '28', 'x': '200'}
{'id': '98'}	{'y': '64', 'h': '26', 'fish_species': 'Dascyllus Reticulatus', 'w': '20', 'x': '142'}
